    186 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/#1947e-royte-pomerantsen.psd#:D an
    186 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1947e-royte-pomerantsen.psd:D an
      4 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1xxxx-court-testimony.psd:D an
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1518w-goetz.psd:D aym
      6 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1518w-goetz.psd:D ayn
      9 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1677w-witzenhausen.psd:D ayn
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1800e-nakhman.psd:D ayn
      3 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1910e-grine-felder.psd:D ayn
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1478w-letter-regensburg.psd:D aynem
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1518w-goetz.psd:D aynem
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1677w-witzenhausen.psd:D aynem
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1677w-witzenhausen.psd:D aynen
      6 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1518w-goetz.psd:D ayner
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1677w-witzenhausen.psd:D ayner
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/#1579e-shir.psd#:D d...
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1579e-shir.psd:D d...
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1589e-ester.psd:D da
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1xxxx-court-testimony.psd:D da
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1478w-letter-regensburg.psd:D das
     12 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1518w-goetz.psd:D das
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1534e-anshel.psd:D das
     26 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1579e-shir-preface.psd:D das
     43 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/#1579e-shir.psd#:D das
     43 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1579e-shir.psd:D das
      6 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1589e-ester-preface.psd:D das
     22 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1589e-ester.psd:D das
